Vendor Name,Field,Pass-1,QA-Correction,QA Rationale
Navan (Tripactions Inc),Recommendation,Protected,Optimize,"Navan is the main travel platform but is not statutory or M&A transaction-related. It is an ongoing SaaS service eligible for contract renegotiation and scope optimization, not Protected status."
Bdo Llp,Recommendation,Protected,Optimize,"BDO is the statutory auditor, but routine audit services are not Protected under acquisition rules. Protected applies only to M&A transaction advisors or mandatory government fees. Statutory audit is required but scope/fees can be renegotiated — hence Optimize."
Hr Solution International Gmbh,Description,HR consulting or software services from German entity,HR consulting and outsourcing services provider,"HRSolution International is a known HR outsourcing/consulting firm with DACH presence. Given 'Hrsolution International Ag' likely exists as duplicate entry, mark for consolidation under single vendor record. Scope is HR services, not ambiguous enough to warrant Investigate."
Hr Solution International Gmbh,Recommendation,Investigate,Consolidate,"HRSolution International is a known HR outsourcing/consulting firm with DACH presence. Given 'Hrsolution International Ag' likely exists as duplicate entry, mark for consolidation under single vendor record. Scope is HR services, not ambiguous enough to warrant Investigate."
"Navan, Inc",Recommendation,Protected,Optimize,"Navan is the main travel platform but is a recurring SaaS/service vendor, not a statutory or M&A transaction cost. Should be retained but renegotiated for better rates or scope—not Protected."
SveuäIliå¡Te U Zagrebu,Department,Statutory / Non-discretionary,People & HR,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
SveuäIliå¡Te U Zagrebu,Description,University of Zagreb — likely statutory education tax or levy,University of Zagreb — likely intern program or training partnership,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
SveuäIliå¡Te U Zagrebu,Recommendation,Protected,Investigate,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose."
Ss&C Intralinks Inc,Recommendation,Optimize,Protected,"SS&C Intralinks is a VDR provider tied to M&A transactions. Per Rule 10, deal-related M&A infrastructure is Protected as one-time transaction cost, not recurring operational spend to optimize."
Veniture D.O.O.,Department,Facilities,Engineering,"Veniture is a known Croatian software development and IT consulting company, not a facilities provider. However, specific engagement scope (staff augmentation, project work, etc.) needs verification to determine if services overlap with internal engineering or can be consolidated."
Veniture D.O.O.,Description,Croatian local facilities or office services provider,Croatian software development or IT consulting firm,"Veniture is a known Croatian software development and IT consulting company, not a facilities provider. However, specific engagement scope (staff augmentation, project work, etc.) needs verification to determine if services overlap with internal engineering or can be consolidated."
Agram Life Osiguranje D.O.O.,Recommendation,Protected,Optimize,"Life insurance for employees is a benefit, not a statutory/mandatory requirement in Croatia. Employee benefits are negotiable and can be optimized for cost/coverage. Protected is reserved for true statutory obligations and one-time M&A fees."
Eurofast International Ltd-Greec,Recommendation,Investigate,Optimize,Eurofast is a known regional accounting/tax advisory firm serving multinational subsidiaries. Greece presence likely supports statutory compliance for a legal entity. Not legacy without evidence — recommend Optimize to review scope and fee structure rather than Investigate.
Sodexo Svc India Private Limited,Department,Facilities,Employee Experience,"Sodexo India primarily provides catering/food services for employees, which falls under Employee Experience per rules, not Facilities. Facilities is for real estate, utilities, maintenance only."
Sodexo Svc India Private Limited,Description,Chennai office catering and facility management services,Chennai office catering and food services provider,"Sodexo India primarily provides catering/food services for employees, which falls under Employee Experience per rules, not Facilities. Facilities is for real estate, utilities, maintenance only."
Plus Your Business Ltd,Recommendation,Investigate,Consolidate,"Name clearly indicates UK bookkeeping/accounting outsourcing. With BDO as main audit firm, this should be consolidated into BDO's scope or eliminated. No investigation needed - standard local compliance bookkeeping that can be folded into primary audit relationship."
Konzum Plus D.O.O.,Department,Facilities,Employee Experience,"Konzum Plus is Croatia's largest supermarket/grocery chain, not an office supplies vendor. Spend likely covers employee snacks, beverages, and pantry items — belongs in Employee Experience, not Facilities."
Konzum Plus D.O.O.,Description,Croatian office supplies and consumables provider,Croatian supermarket chain for office groceries and snacks,"Konzum Plus is Croatia's largest supermarket/grocery chain, not an office supplies vendor. Spend likely covers employee snacks, beverages, and pantry items — belongs in Employee Experience, not Facilities."
