Vendor Name,Department,Last 12 months Cost (USD),1-line Description,Recommendation,Rationale,Confidence
Salesforce Uk Ltd-Uk,Sales,"$3,117,226",Primary CRM platform for sales pipeline and customer data management,Optimize,"Agree. Salesforce is the stated main CRM — core to sales operations but $3.1M spend warrants license audit, seat rationalization, and edition review post-acquisition. Not Protected (ongoing SaaS, not statutory/M&A fee).",high
Navan (Tripactions Inc),Travel & Entertainment,"$357,984",Corporate travel booking platform and expense management,Optimize,"Navan is the main travel platform but is not statutory or M&A transaction-related. It is an ongoing SaaS service eligible for contract renegotiation and scope optimization, not Protected status.",high
Bdo Llp,Finance,"$343,081",External audit and assurance services,Optimize,"BDO is the statutory auditor, but routine audit services are not Protected under acquisition rules. Protected applies only to M&A transaction advisors or mandatory government fees. Statutory audit is required but scope/fees can be renegotiated — hence Optimize.",high
Tog Uk Properties Limited,Facilities,"$263,821",UK office lease or property rental services,Optimize,"TOG (The Office Group) is a UK flexible workspace provider. Significant spend at $264K warrants lease review, potential consolidation with other office locations, or renegotiation post-acquisition.",high
Cloudcrossing Bvba,IT & Infrastructure,"$208,675",Belgian IT services or software provider (scope unclear),Investigate,Agree. $209K spend on an opaque Belgian vendor with unclear scope warrants investigation before classification. No standard service pattern discernible from name alone.,low
Zagrebtower D.O.O.,Facilities,"$183,754",Zagreb commercial office lease and workspace rental,Optimize,D.O.O. naming convention + 'Tower' strongly indicates Croatian office lease/real estate. High spend consistent with commercial property. Optimize via lease renegotiation or space consolidation post-acquisition.,high
Innovent Spaces Private Limited,Facilities,"$147,348",India office space and coworking services (Chennai facility management),Optimize,Coworking/managed office provider in India; significant spend warrants review of space utilization and contract terms post-acquisition.,high
Weking D.O.O.,Facilities,"$144,093",Croatian facilities management or office maintenance services,Investigate,"Weking D.O.O. is a Croatian entity with significant spend ($144k); name does not clearly indicate scope (could be cleaning, maintenance, security, or other). Warrants investigation to confirm service type before optimization decision.",low
Jensten Insurance Brokers,Finance,"$142,700",Commercial insurance brokerage services for corporate policies,Optimize,Insurance broker handling corporate policies; opportunity to consolidate coverage lines and renegotiate rates across global entities.,high
Gpt Space & Co,Facilities,"$133,507",Office space lease or coworking membership,Optimize,Agree. Vendor name suggests coworking/office space provider. $133K spend is consistent with real estate lease. Facilities is correct department; Optimize is appropriate to review space utilization post-acquisition.,medium
